annee;numCommune;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbCinemasAE;RME;indiceFrequentation;populationCommune
2001;74010;12;31;6860;1;25838;852345;4866421,503;16,94146648;;5,709450402;16,92907365;87918
2002;74010;9;24;5394;1;25374;902420;5172083,21;18,82307102;5;5,731348164;17,92365139;14901
2003;74010;8;23;5328;1;25318;820703;4780465,1;17,11181835;5;5,824841752;16,33109802;17140
2004;74010;7;20;4500;1;22115;907464;5453398,5;22,87089943;5;6,009492939;18,05754766;7258
2005;74010;7;20;4396;1;23602;796094;4943615,2;19,72493897;4;6,209838537;15,84140566;30487
2006;74010;7;20;4396;1;24461;869063;5414831,51;20,67443246;5;6,230654751;17,0595175;2739
2007;74010;7;20;4396;1;24280;810665;5091864,6;19,42646441;5;6,28109589;15,58102212;14902
2008;74010;7;20;4396;1;24264;833185;5418507,2;19,82683334;5;6,503366239;6,628677582;4195
2009;74010;7;20;4396;1;24167;879086;5778612,1;21,12350177;5;6,573432065;6,9938581;3042
2010;74010;7;20;4396;1;24109;910791;6238831,4;22,01250094;5;6,849904534;7,246097666;6040
2011;74010;7;20;4396;1;24527;899518;6165458,3;21,08970271;4;6,854180016;7,156411603;5203
2012;74010;7;20;4396;1;24675;878276;6061247,9;20,70506162;4;6,901301983;6,987413878;2452
2013;74010;7;20;4396;1;25556;850484;5961079,39;19,464491;4;7,009043545;6,766305472;1391
2014;74010;7;19;4108;1;25832;921896;6430066,66;20,76796057;4;6,974828679;7,334447149;7440
2015;74010;7;19;4108;1;26119;867894;6284444,7;19,41986147;4;7,241027937;6,904816459;2512
2016;74010;7;19;4108;1;26716;878641;6422139,8;19,18130685;4;7,309173826;6,990317756;2529
2017;74010;7;20;4396;1;27716;861748;6385566,35;18,15079082;4;7,410015863;6,855919933;4267
